t   Daily   Accum
  172.00000    16.00000  1379.00000
  173.00000     8.00000  1387.00000
  174.00000    11.00000  1398.00000
  175.00000    10.00000  1408.00000
  176.00000    12.00000  1420.00000
  177.00000     7.00000  1427.00000
  178.00000     8.00000  1435.00000
  179.00000     7.00000  1442.00000
  180.00000     9.00000  1451.00000
  181.00000     6.00000  1457.00000
  182.00000     6.00000  1463.00000
  183.00000     5.00000  1468.00000
  184.00000     6.00000  1474.00000
  185.00000     4.00000  1478.00000
  186.00000     9.00000  1487.00000
  187.00000     8.00000  1495.00000
  188.00000     9.00000  1504.00000
  189.00000     7.00000  1511.00000
  190.00000     4.00000  1515.00000
  191.00000    10.00000  1525.00000
  192.00000     9.00000  1534.00000
  193.00000     6.00000  1540.00000
  194.00000     7.00000  1547.00000
  195.00000     7.00000  1554.00000
  196.00000     4.00000  1558.00000
  197.00000     6.00000  1564.00000
  198.00000     4.00000  1568.00000
  199.00000     6.00000  1574.00000
  200.00000     2.00000  1576.00000
  201.00000     2.00000  1578.00000
  202.00000     6.00000  1584.00000
  203.00000     7.00000  1591.00000
  204.00000    10.00000  1601.00000
  205.00000     6.00000  1607.00000
  206.00000     7.00000  1614.00000
  207.00000     5.00000  1619.00000
  208.00000     6.00000  1625.00000
  209.00000    10.00000  1635.00000
  210.00000     4.00000  1639.00000
  211.00000     4.00000  1643.00000
  212.00000     4.00000  1647.00000
  213.00000     9.00000  1656.00000
  214.00000     5.00000  1661.00000
  215.00000     5.00000  1666.00000
  216.00000     8.00000  1674.00000
  217.00000     7.00000  1681.00000
  218.00000    10.00000  1691.00000
  219.00000     2.00000  1693.00000
  220.00000     8.00000  1701.00000
  221.00000     6.00000  1707.00000
  222.00000     9.00000  1716.00000
  223.00000    10.00000  1726.00000
  224.00000     8.00000  1734.00000
  225.00000     6.00000  1740.00000
  226.00000     7.00000  1747.00000
  227.00000     5.00000  1752.00000
  228.00000    16.00000  1768.00000
  229.00000    12.00000  1780.00000
  230.00000     9.00000  1789.00000
  231.00000    10.00000  1799.00000
  232.00000     9.00000  1808.00000
  233.00000    10.00000  1818.00000
  234.00000     8.00000  1826.00000
  235.00000    12.00000  1838.00000
  236.00000    16.00000  1854.00000
  237.00000    16.00000  1870.00000
  238.00000    13.00000  1883.00000
  239.00000    14.00000  1897.00000
  240.00000    23.00000  1920.00000
  241.00000    17.00000  1937.00000
  242.00000    11.00000  1948.00000
  243.00000    12.00000  1960.00000
  244.00000    23.00000  1983.00000
  245.00000    20.00000  2003.00000
  246.00000    17.00000  2020.00000
  247.00000    13.00000  2033.00000
  248.00000    11.00000  2044.00000
  249.00000    17.00000  2061.00000
  250.00000    27.00000  2088.00000
  251.00000    15.00000  2103.00000
  252.00000    28.00000  2131.00000
  253.00000    20.00000  2151.00000
  254.00000    23.00000  2174.00000
  255.00000    18.00000  2192.00000
  256.00000    19.00000  2211.00000
  257.00000    20.00000  2231.00000
  258.00000    23.00000  2254.00000
  259.00000    24.00000  2278.00000
  260.00000    16.00000  2294.00000
  261.00000    14.00000  2308.00000
  262.00000    33.00000  2341.00000
  263.00000    19.00000  2360.00000
  264.00000    19.00000  2379.00000
  265.00000    19.00000  2398.00000
  266.00000    13.00000  2411.00000
  267.00000    18.00000  2429.00000
  268.00000    19.00000  2448.00000
  269.00000    14.00000  2462.00000
  270.00000    15.00000  2477.00000
  271.00000    16.00000  2493.00000
  272.00000    13.00000  2506.00000
  273.00000    10.00000  2516.00000
  274.00000    21.00000  2537.00000
  275.00000    10.00000  2547.00000
  276.00000     6.00000  2553.00000
  277.00000    14.00000  2567.00000
  278.00000    21.00000  2588.00000
  279.00000     9.00000  2597.00000
  280.00000     7.00000  2604.00000
  281.00000     9.00000  2613.00000
  282.00000     7.00000  2620.00000
  283.00000     7.00000  2627.00000
  284.00000     7.00000  2634.00000
  285.00000    12.00000  2646.00000
  286.00000    12.00000  2658.00000
  287.00000     7.00000  2665.00000
  288.00000    18.00000  2683.00000
  289.00000    13.00000  2696.00000
  290.00000    11.00000  2707.00000
  291.00000     8.00000  2715.00000
  292.00000    14.00000  2729.00000
  293.00000     7.00000  2736.00000
  294.00000    12.00000  2748.00000
  295.00000    14.00000  2762.00000
  296.00000    10.00000  2772.00000
  297.00000    13.00000  2785.00000
  298.00000    10.00000  2795.00000
  299.00000    12.00000  2807.00000
  300.00000     7.00000  2814.00000
  301.00000     6.00000  2820.00000
  302.00000     7.00000  2827.00000
  303.00000    14.00000  2841.00000
  304.00000     9.00000  2850.00000
  305.00000     7.00000  2857.00000
  306.00000     8.00000  2865.00000
  307.00000    12.00000  2877.00000
  308.00000     8.00000  2885.00000
  309.00000    12.00000  2897.00000
  310.00000     9.00000  2906.00000
  311.00000     5.00000  2911.00000
  312.00000     8.00000  2919.00000
  313.00000    15.00000  2934.00000
  314.00000    12.00000  2946.00000
  315.00000     9.00000  2955.00000
  316.00000    11.00000  2966.00000
  317.00000    12.00000  2978.00000
  318.00000     9.00000  2987.00000
  319.00000    10.00000  2997.00000
  320.00000     9.00000  3006.00000
  321.00000     8.00000  3014.00000
  322.00000     4.00000  3018.00000
  323.00000     6.00000  3024.00000
  324.00000     8.00000  3032.00000
  325.00000     5.00000  3037.00000
  326.00000    15.00000  3052.00000
  327.00000    11.00000  3063.00000
  328.00000    13.00000  3076.00000
  329.00000    11.00000  3087.00000
  330.00000    14.00000  3101.00000
  331.00000     4.00000  3105.00000
  332.00000    20.00000  3125.00000
  333.00000    11.00000  3136.00000
  334.00000    13.00000  3149.00000
  335.00000     8.00000  3157.00000
  336.00000    15.00000  3172.00000
  337.00000    19.00000  3191.00000
  338.00000    15.00000  3206.00000
  339.00000    20.00000  3226.00000
  340.00000    18.00000  3244.00000
  341.00000    16.00000  3260.00000
  342.00000    27.00000  3287.00000
  343.00000    33.00000  3320.00000
  344.00000    21.00000  3341.00000
  345.00000    34.00000  3375.00000
  346.00000    28.00000  3403.00000
  347.00000    39.00000  3442.00000
  348.00000    33.00000  3475.00000
  349.00000    41.00000  3516.00000
  350.00000    26.00000  3542.00000
  351.00000    36.00000  3578.00000
  352.00000    22.00000  3600.00000
  353.00000    31.00000  3631.00000
  354.00000    43.00000  3674.00000
  355.00000    32.00000  3706.00000
  356.00000    28.00000  3734.00000
  357.00000    30.00000  3764.00000
  358.00000    31.00000  3795.00000
  359.00000    30.00000  3825.00000
  360.00000    31.00000  3856.00000
  361.00000    41.00000  3897.00000
  362.00000    32.00000  3929.00000
  363.00000    31.00000  3960.00000
  364.00000    21.00000  3981.00000
  365.00000    19.00000  4000.00000
  366.00000    21.00000  4021.00000
  367.00000    27.00000  4048.00000
  368.00000    19.00000  4067.00000
  369.00000    17.00000  4084.00000
  370.00000    29.00000  4113.00000
  371.00000    13.00000  4126.00000
  372.00000    23.00000  4149.00000
  373.00000    19.00000  4168.00000
  374.00000    21.00000  4189.00000
  375.00000    21.00000  4210.00000
  376.00000    22.00000  4232.00000
  377.00000    23.00000  4255.00000
  378.00000    14.00000  4269.00000
  379.00000    12.00000  4281.00000
  380.00000    11.00000  4292.00000
  381.00000     5.00000  4297.00000
  382.00000    15.00000  4312.00000
  383.00000     7.00000  4319.00000
  384.00000    12.00000  4331.00000
  385.00000     3.00000  4334.00000
  386.00000     1.00000  4335.00000
  387.00000     0.00000  4335.00000
  388.00000     0.00000  4335.00000
  389.00000     0.00000  4335.00000
