t,C1,daily_theo,municipio
0.0,1.0,0.066021033893663,Almirante Tamandare
0.16008004002001,1.0106222487302428,0.06669145964802059,Almirante Tamandare
0.32016008004002,1.0213522983234322,0.06736815546711769,Almirante Tamandare
0.48024012006003003,1.03219113993233,0.06805116977255123,Almirante Tamandare
0.64032016008004,1.043139867616873,0.06874055719822662,Almirante Tamandare
0.80040020010005,1.0541994664007768,0.06943636523317237,Almirante Tamandare
0.9604802401200601,1.0653709680559167,0.07013864403613045,Almirante Tamandare
1.12056028014007,1.0766554112389157,0.07084744391853728,Almirante Tamandare
1.28064032016008,1.0880538444448058,0.07156281552577848,Almirante Tamandare
1.44072036018009,1.0995673231875678,0.07228480965561032,Almirante Tamandare
1.6008004002001,1.111196911694553,0.07301347736012279,Almirante Tamandare
1.76088044022011,1.122943682365273,0.07374886990722979,Almirante Tamandare
1.9209604802401201,1.1348087159501963,0.07449103878730468,Almirante Tamandare
2.08104052026013,1.1467931003098897,0.07524003563102809,Almirante Tamandare
2.24112056028014,1.1588979344714783,0.07599591245823648,Almirante Tamandare
2.40120060030015,1.1711243255201227,0.07675872147858587,Almirante Tamandare
2.56128064032016,1.1834733855933128,0.07752851489957698,Almirante Tamandare
2.72136068034017,1.1959462367776281,0.07830534522748647,Almirante Tamandare
2.88144072036018,1.2085440096550553,0.07908926517166028,Almirante Tamandare
3.04152076038019,1.2212678435097124,0.07988032765242116,Almirante Tamandare
3.2016008004002,1.2341188859407877,0.08067858577199376,Almirante Tamandare
3.36168084042021,1.2470982929221097,0.0814840928132187,Almirante Tamandare
3.52176088044022,1.2602072293873348,0.08229690227077643,Almirante Tamandare
3.68184092046023,1.273446868498703,0.08311706780065374,Almirante Tamandare
3.8419209604802402,1.2868183920638914,0.08394464324083481,Almirante Tamandare
4.00200100050025,1.3003229913728336,0.08477968265775987,Almirante Tamandare
4.16208104052026,1.3139618660261152,0.0856222402684306,Almirante Tamandare
4.32216108054027,1.327736223840053,0.0864723704292915,Almirante Tamandare
4.48224112056028,1.3416472812712115,0.08733012765711043,Almirante Tamandare
4.64232116058029,1.3556962634505223,0.08819556662562615,Almirante Tamandare
4.8024012006003,1.3698844042174,0.08906874216213397,Almirante Tamandare
4.96248124062031,1.3842129461538621,0.08994970924401058,Almirante Tamandare
5.12256128064032,1.3986831406186448,0.0908385229951768,Almirante Tamandare
5.28264132066033,1.4132962477813225,0.09173523868249739,Almirante Tamandare
5.44272136068034,1.4280535366564244,0.09263991171211866,Almirante Tamandare
5.60280140070035,1.442956285137553,0.093552597625742,Almirante Tamandare
5.76288144072036,1.458005780031502,0.0944733520968338,Almirante Tamandare
5.92296148074037,1.4732033171000203,0.09540223092723811,Almirante Tamandare
6.08304152076038,1.4885502012659315,0.09633929005375162,Almirante Tamandare
6.24312156078039,1.5040477464176565,0.09728458553008545,Almirante Tamandare
6.4032016008004,1.5196972754395073,0.09823817352259671,Almirante Tamandare
6.56328164082041,1.5355001203091323,0.09920011031004035,Almirante Tamandare
6.72336168084042,1.5514576221320764,0.10017045227940861,Almirante Tamandare
6.88344172086043,1.567571131176338,0.10114925592170318,Almirante Tamandare
7.04352176088044,1.5838420069069286,0.10213657782763833,Almirante Tamandare
7.20360180090045,1.6002716180204302,0.10313247468327633,Almirante Tamandare
7.36368184092046,1.6168613424795544,0.1041370032655929,Almirante Tamandare
7.52376188094047,1.6336125675477,0.10515022043797366,Almirante Tamandare
7.6838419209604805,1.6505266898235122,0.10617218314563989,Almirante Tamandare
7.84392196098049,1.66760511527544,0.1072029484110039,Almirante Tamandare
8.0040020010005,1.684849259041817,0.10824257331482427,Almirante Tamandare
8.16408204102051,1.7022605412702292,0.10929111473899392,Almirante Tamandare
8.32416208104052,1.7198403924801116,0.11034862968349869,Almirante Tamandare
8.48424212106053,1.7375902535475916,0.11141517525821275,Almirante Tamandare
8.64432216108054,1.7555115744418792,0.11249080859974751,Almirante Tamandare
8.80440220110055,1.773605814231997,0.1135755868648691,Almirante Tamandare
8.96448224112056,1.7918744410935066,0.11466956722385581,Almirante Tamandare
9.12456228114057,1.8103189323152384,0.1157728068537948,Almirante Tamandare
9.28464232116058,1.8289407743060209,0.11688536293181892,Almirante Tamandare
9.44472236118059,1.8477414626022148,0.11800729262832939,Almirante Tamandare
9.6048024012006,1.8667225024120595,0.11913865313213524,Almirante Tamandare
9.76488244122061,1.8858854082745662,0.12027950162261941,Almirante Tamandare
9.92496248124062,1.9052317035911337,0.12142989523442432,Almirante Tamandare
10.08504252126063,1.9247629209869164,0.12258989107152869,Almirante Tamandare
10.24512256128064,1.9444806023219585,0.12375954620034807,Almirante Tamandare
10.40520260130065,1.9643862987023315,0.12493891764276936,Almirante Tamandare
10.56528264132066,1.984481570491269,0.12612806236912086,Almirante Tamandare
10.72536268134067,2.004767987320303,0.1273270372910759,Almirante Tamandare
10.88544272136068,2.0252471281004008,0.1285358992544912,Almirante Tamandare
11.04552276138069,2.045920579972986,0.1297547049697182,Almirante Tamandare
11.2056028014007,2.0667899375330046,0.13098351095832977,Almirante Tamandare
11.36568284142071,2.0878568060634883,0.13222237373589182,Almirante Tamandare
11.52576288144072,2.1091227999928157,0.13347134971282576,Almirante Tamandare
11.685842921460731,2.1305895428319883,0.13473049518265642,Almirante Tamandare
11.84592296148074,2.1522586671706168,0.13599986631366404,Almirante Tamandare
12.00600300150075,2.174131814672905,0.13727951914047598,Almirante Tamandare
12.16608304152076,2.1962106360736366,0.1385695095555994,Almirante Tamandare
12.32616308154077,2.2184967911741564,0.13986989330089333,Almirante Tamandare
